date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:20	149/149	---M-Z	200	added ('OK')	text/plain	etag:%22ca-62d8958fce580-gzip%22	https://www.performanse.com/robots.txt		(from )
10:53:20	303721/303721	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:52:59%20GMT	https://www.performanse.com/es/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/index.html	(from )
10:53:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Feb%202025%2016:52:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Administrator/Desktop/Teysaweb/www.googletagmanager.com/gtm.05445.delayed	(from https://www.performanse.com/es/)
10:53:22	1645234/1645234	---MCZ	200	added ('OK')	text/javascript	etag:%22191ab2-62d895c2920bf-gzip%22	https://www.performanse.com/dist/assets/main.c3dfb829.js	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/dist/assets/main.c3dfb829.js	(from https://www.performanse.com/es/)
10:53:22	361355/361355	---M-Z	200	added ('OK')	text/css	etag:%225838b-62d895c2920bf-gzip%22	https://www.performanse.com/dist/assets/main.ea4bcd9e.css	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/dist/assets/main.ea4bcd9e.css	(from https://www.performanse.com/es/)
10:53:23	130548/130548	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:02%20GMT	https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/index.html	(from https://www.performanse.com/es/)
10:53:23	119170/119170	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:02%20GMT	https://www.performanse.com/es/evento/games-of-hr-barcelona-edicion-especial-management/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/evento/games-of-hr-barcelona-edicion-especial-management/index.html	(from https://www.performanse.com/es/)
10:53:24	125489/125489	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:02%20GMT	https://www.performanse.com/es/blog/e-book/el-poder-predictivo-de-los-metodos-de-evaluacion/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-book/el-poder-predictivo-de-los-metodos-de-evaluacion/index.html	(from https://www.performanse.com/es/)
10:53:24	177374/177374	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:02%20GMT	https://www.performanse.com/es/nuestros-productos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/index.html	(from https://www.performanse.com/es/)
10:53:24	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2016:53:03%20GMT	https://www.performanse.com/es/blog	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog.3.delayed	(from https://www.performanse.com/es/)
10:53:25	222436/222436	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:04%20GMT	https://www.performanse.com/es/tus-necesidades/gestion-de-equipos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/tus-necesidades/gestion-de-equipos/index.html	(from https://www.performanse.com/es/)
10:53:25	254500/254500	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:04%20GMT	https://www.performanse.com/es/tus-necesidades/desarrollo-del-talento/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/tus-necesidades/desarrollo-del-talento/index.html	(from https://www.performanse.com/es/)
10:53:26	170792/170792	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:04%20GMT	https://www.performanse.com/es/nuestros-productos/idoneo/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/idoneo/index.html	(from https://www.performanse.com/es/)
10:53:27	268401/268401	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:03%20GMT	https://www.performanse.com/es/tus-necesidades/seleccion/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/tus-necesidades/seleccion/index.html	(from https://www.performanse.com/es/)
10:53:27	162714/162714	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:06%20GMT	https://www.performanse.com/es/nuestros-productos/echo/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/echo/index.html	(from https://www.performanse.com/es/)
10:53:27	192446/192446	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:06%20GMT	https://www.performanse.com/es/nuestros-servicios/assessment-center/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/assessment-center/index.html	(from https://www.performanse.com/es/)
10:53:28	193407/193407	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:07%20GMT	https://www.performanse.com/es/nuestros-servicios/evaluacion-de-las-soft-skills/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/evaluacion-de-las-soft-skills/index.html	(from https://www.performanse.com/es/)
10:53:29	159232/159232	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:07%20GMT	https://www.performanse.com/es/nuestros-productos/twob-r/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/twob-r/index.html	(from https://www.performanse.com/es/)
10:53:29	158840/158840	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:07%20GMT	https://www.performanse.com/es/nuestros-productos/manage-r/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/manage-r/index.html	(from https://www.performanse.com/es/)
10:53:29	186361/186361	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:07%20GMT	https://www.performanse.com/es/nuestros-servicios/revision-de-la-carrera/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/revision-de-la-carrera/index.html	(from https://www.performanse.com/es/)
10:53:30	158578/158578	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:08%20GMT	https://www.performanse.com/es/nuestros-productos/evolution/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/evolution/index.html	(from https://www.performanse.com/es/)
10:53:30	102747/102747	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:09%20GMT	https://www.performanse.com/es/nuestros-exitos/como-ataraxis-transformo-su-seleccion-de-personal/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-exitos/como-ataraxis-transformo-su-seleccion-de-personal/index.html	(from https://www.performanse.com/es/)
10:53:31	102254/102254	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:09%20GMT	https://www.performanse.com/es/business-cases/como-profesionalizar-y-evitar-los-sesgos-en-un-proceso-de-seleccion/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/business-cases/como-profesionalizar-y-evitar-los-sesgos-en-un-proceso-de-seleccion/index.html	(from https://www.performanse.com/es/)
10:53:31	177748/177748	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:09%20GMT	https://www.performanse.com/es/nuestros-servicios/perfiles-competenciales/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/perfiles-competenciales/index.html	(from https://www.performanse.com/es/)
10:53:31	100439/100439	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:10%20GMT	https://www.performanse.com/es/nuestros-exitos/como-detectar-a-los-mejores-talentos-entre-sus-empleados/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-exitos/como-detectar-a-los-mejores-talentos-entre-sus-empleados/index.html	(from https://www.performanse.com/es/)
10:53:32	0/0	---M--	302	error ('Found')	text/html		http://www.performanse.com/es/blog/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/index.html	(from https://www.performanse.com/es/)
10:53:32	102039/102039	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:11%20GMT	https://www.performanse.com/es/nuestros-exitos/como-identificar-a-los-mejores-talentos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-exitos/como-identificar-a-los-mejores-talentos/index.html	(from https://www.performanse.com/es/)
10:53:32	101209/101209	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:11%20GMT	https://www.performanse.com/es/nuestros-exitos/como-asesorar-a-los-empleados-en-un-contexto-de-reorganizacion/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-exitos/como-asesorar-a-los-empleados-en-un-contexto-de-reorganizacion/index.html	(from https://www.performanse.com/es/)
10:53:32	244178/244178	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:11%20GMT	https://www.performanse.com/es/ciencia-e-innovacion/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/ciencia-e-innovacion/index.html	(from https://www.performanse.com/es/)
10:53:33	127745/127745	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:12%20GMT	https://www.performanse.com/es/blog/evento/management-estan-preparados-los-menores-de-30-anos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/evento/management-estan-preparados-los-menores-de-30-anos/index.html	(from https://www.performanse.com/es/)
10:53:34	26269/26269	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:12%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/como-detectar-un-potencial-alto/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/como-detectar-un-potencial-alto/index.html	(from https://www.performanse.com/es/)
10:53:34	124002/124002	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:12%20GMT	https://www.performanse.com/es/blog/e-book/management-los-jovenes-ya-estan-aqui/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-book/management-los-jovenes-ya-estan-aqui/index.html	(from https://www.performanse.com/es/)
10:53:34	142789/142789	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:13%20GMT	https://www.performanse.com/es/nuestros-exitos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-exitos/index.html	(from https://www.performanse.com/es/)
10:53:36	101539/101539	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:14%20GMT	https://www.performanse.com/es/aviso-legal/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/aviso-legal/index.html	(from https://www.performanse.com/es/)
10:53:36	93391/93391	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:14%20GMT	https://www.performanse.com/es/politica-de-privacidad/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/politica-de-privacidad/index.html	(from https://www.performanse.com/es/)
10:53:36	167641/167641	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:14%20GMT	https://www.performanse.com/es/nuestros-servicios/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/index.html	(from https://www.performanse.com/es/)
10:53:36	238532/238532	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:14%20GMT	https://www.performanse.com/es/tus-necesidades/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/tus-necesidades/index.html	(from https://www.performanse.com/es/)
10:53:37	111710/111710	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:16%20GMT	https://www.performanse.com/es/blog/articulos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/articulos/index.html	(from https://www.performanse.com/es/)
10:53:37	212090/212090	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:16%20GMT	https://www.performanse.com/es/acerca-de/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/acerca-de/index.html	(from https://www.performanse.com/es/)
10:53:38	111467/111467	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:16%20GMT	https://www.performanse.com/es/blog/e-books/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-books/index.html	(from https://www.performanse.com/es/)
10:53:38	22558/22558	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:16%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/12-acciones-eficaces-para-generar-compromiso/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/12-acciones-eficaces-para-generar-compromiso/index.html	(from https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/)
10:53:39	124345/124345	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/blog/e-book/compromiso-un-concepto-anticuado/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-book/compromiso-un-concepto-anticuado/index.html	(from https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/)
10:53:39	23314/23314	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/agbar-como-evitar-los-sesgos-en-un-proceso-de-selecci%c3%b3n/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/agbar-como-evitar-los-sesgos-en-un-proceso-de-selecci%c3%b3n/index.html	(from https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/)
10:53:39	165068/165068	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/nuestros-productos/perfco/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/perfco/index.html	(from https://www.performanse.com/es/nuestros-productos/)
